generation_index,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness
169.0,1409.044,4.77843975830954,5.811127017313207,9.070051202584779
170.0,1411.556,4.798449524773865,5.811127017313207,9.070051202584779
171.0,1363.56,4.812341885341417,5.811127017313207,9.070051202584779
172.0,1380.996,4.800519642926917,5.811127017313207,9.070051202584779
173.0,1364.215,4.786712773485141,5.811127017313207,9.070051202584779
174.0,1369.581,4.785476629247276,5.811127017313207,9.070051202584779
175.0,1399.712,4.823521045651101,5.811127017313207,9.070051202584779
176.0,1407.605,4.844547763852522,5.811127017313207,9.070051202584779
177.0,1384.897,4.842186843859959,5.811127017313213,9.070051202584779
178.0,1386.304,4.803720471688841,5.811127017313213,9.070051202584779
179.0,1412.171,4.8169278559780055,5.811127017313213,9.070051202584779
180.0,1434.343,4.857111377630669,5.811127017313213,9.070051202584779
181.0,1461.227,4.851604461205726,5.811127017313213,9.070051202584779
182.0,1469.42,4.867908877629089,5.811127017313213,9.070051202584779
183.0,1470.256,4.872661638124173,5.811127017313213,9.070051202584779
184.0,1494.21,4.85559277129144,5.811127017313213,9.070051202584779
185.0,1486.584,4.844050286906934,5.811127017313213,9.070051202584779
186.0,1508.09,4.866361704092383,5.811127017313213,9.070051202584779
187.0,1476.982,4.84158835754761,5.811127017313213,9.070051202584779
188.0,1481.364,4.864605886867618,5.8383453169656265,9.070051202584779
189.0,1489.163,4.844489521576969,5.8383453169656265,9.070051202584779
190.0,1487.426,4.884493710281176,5.8383453169656265,9.070051202584779
191.0,1498.295,4.937586051590277,5.8383453169656265,9.070051202584779
192.0,1496.668,4.917919192474743,5.8383453169656265,9.070051202584779
193.0,1487.492,4.956474463346148,5.8383453169656265,9.070051202584779
194.0,1463.909,4.935105164361845,5.8383453169656265,9.070051202584779
195.0,1470.351,4.933877182077776,5.8383453169656265,9.070051202584779
196.0,1467.75,4.960891115187763,5.8383453169656265,9.070051202584779
197.0,1485.128,4.9934332768481875,5.8383453169656265,9.070051202584779
198.0,1486.351,5.01552827355823,5.8383453169656265,9.070051202584779
199.0,1470.477,4.978355815898592,5.8383453169656265,9.070051202584779
200.0,1450.97,4.994954784655949,5.8383453169656265,9.070051202584779
